Ticker,Date,Amount,Size_Usdt,Commission,Side,Price,Total_Average_Buy_Price,Profit,Total_Profit,Total_Total_Profit,PnL_%,Total_Amount
BTC_USDT,2024-01-05 17:23:40,0.0023,99.813123,2.3e-06,Buy,43397.01,,,,,,
BTC_USDT,2024-01-05 17:54:16,0.00229,99.844,0.099844,Sell,43600.0,,0.365,,,,
BTC_USDT,2024-01-06 11:51:51,0.002,87.31198,2e-06,Buy,43655.99,,,,,,
BTC_USDT,2024-01-06 14:12:22,0.002,87.6,0.0876,Sell,43800.0,,0.2,,,,
BTC_USDT,2024-01-08 06:21:39,0.0011,48.4,0.0484,Sell,44000.0,,0.33,,,,
BTC_USDT,2024-01-09 22:37:13,0.004,183.88244,4e-06,Buy,45970.61,,,,,,
BTC_USDT,2024-01-10 16:40:46,0.002,90.91596,2e-06,Buy,45457.98,,,,,,
BTC_USDT,2024-01-10 17:29:28,0.002,91.4,0.0914,Sell,45700.0,,0.393,,,,
BTC_USDT,2024-01-10 18:30:45,0.002,93.0,0.093,Sell,46500.0,,1.991,,,,
BTC_USDT,2024-01-10 23:05:20,0.002,94.0,0.094,Sell,47000.0,,2.99,,,,
BTC_USDT,2024-01-11 21:47:30,0.002,92.37518,2e-06,Buy,46187.59,,,,,,
BTC_USDT,2024-01-14 22:35:17,0.001,42.15999,1e-06,Buy,42159.99,,,,,,
BTC_USDT,2024-01-15 18:25:53,0.001,43.0,0.043,Sell,43000.0,,0.797,,,,
BTC_USDT,2024-01-20 17:42:49,0.00029,12.0497697,2.9e-07,Buy,41550.93,,,,,,
BTC_USDT,2024-01-20 17:54:58,0.00029,12.0610971,0.0120611,Sell,41589.99,,-0.001,,,,
BTC_USDT,2024-01-20 18:10:36,0.00024,9.9669456,2.4e-07,Buy,41528.94,,,,,,
BTC_USDT,2024-01-20 18:17:18,0.00029,12.0494043,0.0120494,Sell,41549.67,,-0.006,,,,
BTC_USDT,2024-01-20 18:26:44,0.00029,12.06632,2.9e-07,Buy,41608.0,,,,,,
BTC_USDT,2024-01-20 18:37:06,0.00024,9.989676,0.00998968,Sell,41623.65,44655.92834985835,-0.006,7.053,,-6.30366 %,0.0009100000000000002
 , , , , , , , , , ,, , 
ETH_USDT,2024-01-08 00:51:48,0.0227,49.945448,2.27e-05,Buy,2200.24,,,,,,
ETH_USDT,2024-01-08 06:21:48,0.0226,49.946,0.049946,Sell,2210.0,,0.171,,,,
ETH_USDT,2024-01-14 23:30:46,0.0602,149.835392,6.02e-05,Buy,2488.96,,,,,,
ETH_USDT,2024-01-16 20:49:22,0.03,77.49,0.07749,Sell,2583.0,,5.115,,,,
ETH_USDT,2024-01-16 23:48:10,0.0115,29.778675,1.15e-05,Buy,2589.45,,,,,,
ETH_USDT,2024-01-22 12:31:24,0.0295,69.98285,2.95e-05,Buy,2372.3,2417.61392251816,,5.286,,-5.96058 %,0.0713
 , , , , , , , , , ,, , 
BNB_USDT,2024-01-06 00:26:03,0.163,49.878,0.000163,Buy,306.0,,,,,,
BNB_USDT,2024-01-06 14:31:57,0.166,50.962,0.050962,Sell,307.0,,0.115,,,,
BNB_USDT,2024-01-23 19:35:50,0.05,14.785,5e-05,Buy,295.7,,,,,,
BNB_USDT,2024-01-27 19:22:03,0.05,15.26,0.01526,Sell,305.2,303.5821596244131,0.46,0.575,,0.69762 %,-0.0030000000000000027
 , , , , , , , , , ,, , 
TRX_USDT,2024-01-18 16:43:50,642.5,69.99395,0.6425,Buy,0.10894,,,,,,
TRX_USDT,2024-01-20 01:33:01,641.8,70.963826,0.07096383,Sell,0.11057,0.10894,0.975,0.975,,3.36883 %,0.7000000000000455
 , , , , , , , , , ,, , 
ARB_USDT,2024-01-14 22:40:05,19.3,39.89117,0.0193,Buy,2.0669,,,,,,
ARB_USDT,2024-01-16 04:16:27,10.0,21.9,0.0219,Sell,2.19,2.0669,1.209,1.209,,-13.19851 %,9.3
 , , , , , , , , , ,, , 
SOL_USDT,2024-01-05 15:11:35,0.3,29.601,0.0003,Buy,98.67,,,,,,
SOL_USDT,2024-01-05 20:46:00,0.29,28.71,0.02871,Sell,99.0,98.67,0.067,0.067,15.165,-5.63494 %,0.010000000000000009
 , , , , , , , , , ,, , 
